"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getInputStream of class LocalSocket has parameters  returns InputStream input stream |||,0.069395825,0.038239002,0.045779698,-0.045906842,-0.014248706,0.075227201,0.034970038,0.034882329,0.063084647,0.017186366,0.075093597,0.016341608,0.068625867,0.13107124,0.008425327,0.035935797,0.043066099,0.068413898,0.050996192,0.07162267,0.029967591,0.069395825,0.078338653,0.21712625,0.008551368,0.132224411,0.020831697,-0.085422546,0.029967591,0.128791749,0.026337691,0.041037705,0.005057817,0.084045477,0.043066099,0.094408423,-0.041302159,0.023661936,0.030658627,0.010770766,0.035034172,0.014290323,0.067843884,-0.02076002,0.03409934,0.023950238,0.03054779
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getInputStream of class LocalSocket has parameters  returns InputStream input stream |||,0.839903712,0.836696982,0.824340582,0.837615848,0.8683061,0.897583723,0.845092118,0.882342935,0.859393895,0.846558273,0.836339116,0.90004003,0.907886565,0.842799664,0.879380405,0.89601326,0.884180963,0.876415551,0.908309698,0.886520565,0.845234334,0.839903712,0.849802613,0.888468683,0.879302084,0.906253397,0.872077048,0.873185575,0.845234334,0.834000528,0.836532593,0.841128469,0.875843287,0.842441022,0.884180963,0.884800732,0.885371566,0.88522923,0.835200548,0.88974452,0.859947264,0.885298312,0.891963601,0.884587586,0.883322775,0.872131169,0.88705802
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getInputStream of class LocalSocket has parameters  returns InputStream input stream |||,0.41622162,0.3055236,0.43017048,0.1419672,0.2284032,0.15494218,0.14489174,0.07044576,0.13234486,0.2574245,0.232134,0.13665462,0.12150359,0.19506289,0.089625485,0.04060121,0.1566796,0.432016,0.17165993,0.12573068,0.30273488,0.41622162,0.13625501,0.19531325,0.0995002,0.2459299,0.17961782,0.15205179,0.30273488,0.19600573,0.37747934,0.27558678,0.18498047,0.27684587,0.1566796,0.088863194,0.14463712,0.067075394,0.08400854,0.00230593,0.13576853,0.066036396,0.033274893,0.19362707,0.22067744,0.10525925,0.002975562
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getInputStream of class LocalSocket has parameters  returns InputStream input stream |||,0.029456623,-0.030083146,0.055100866,-0.013397064,-0.029653028,0.0239868,0.044053778,0.057099797,0.120756537,-0.013558537,0.073845387,0.017005436,0.066678628,0.119099222,0.007828243,-0.027199205,-0.025775418,0.049024589,0.036084149,0.056364574,-0.005558431,0.029456623,0.044050194,0.213549972,0.043251306,0.000845982,-0.024356941,-0.110601164,-0.005558431,0.168635875,-0.020041021,0.028675411,0.00847992,0.04581964,-0.025775418,0.050464146,-0.012072432,-0.014328826,0.027174031,0.019838523,-0.01999327,-0.038249619,0.072667912,-0.087562501,-0.017531009,0.016713586,-0.002938081
"method putBoolean of class BaseBundle has parameters key String : a String or null |||
value boolean : a boolean ||| returns ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putBoolean of class BaseBundle has parameters key String : a String or null |||
value boolean : a boolean ||| returns ",0.047317844,0.016589731,0.098750263,0.009430269,0.037253417,-0.053195894,0.040262062,0.044164345,0.0497365,0.00174541,0.064598724,0.090016894,0.110780403,0.078575306,0.046658583,0.068205237,0.022605086,0.07224898,-0.019034594,0.031168373,0.02295807,0.047317844,0.061291229,0.034420297,-0.067202479,0.102836728,0.003786955,0.034449123,0.02295807,-0.024768714,-0.011840191,0.090917364,0.043479443,0.029307038,0.022605086,0.001236536,0.062444784,0.058346301,0.068875313,0.080934994,-0.011722006,-0.040219329,0.041779451,0.004417293,0.09506052,0.028884975,0.058038283
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putBoolean of class BaseBundle has parameters key String : a String or null |||
value boolean : a boolean ||| returns ",0.14068599,0.0104447,0.016987221,-0.042904396,0.006764134,0.046898425,0.059833415,0.08983741,0.049808402,0.040697996,0.028679311,0.053386193,0.031712539,0.079057246,0.006040022,0.075961158,0.017999729,0.034069519,-0.004808459,0.157961667,0.03834261,0.14068599,0.011678168,0.06696187,-0.02256687,0.093292549,0.067779414,-0.042891942,0.03834261,0.03617914,-0.015930843,0.029184841,0.030469954,0.065818034,0.017999729,0.131861404,-0.021669645,0.013703721,0.067136943,0.055066839,0.023685841,0.081430517,0.043516979,0.039583661,0.027563013,0.080664173,0.084473446
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putBoolean of class BaseBundle has parameters key String : a String or null |||
value boolean : a boolean ||| returns ",0.835198462,0.832306623,0.820935547,0.833257735,0.862533152,0.892191112,0.844210982,0.88106519,0.855675459,0.840074539,0.833083093,0.893422365,0.901222169,0.838004112,0.876162291,0.891004503,0.879683852,0.867632627,0.908398807,0.87866503,0.840658307,0.835198462,0.844594419,0.883078992,0.871404767,0.902748466,0.868066967,0.869615972,0.840658307,0.830256283,0.836511075,0.836392581,0.87311691,0.839527845,0.879683852,0.875706553,0.8838709,0.879782975,0.832921445,0.883853853,0.85811615,0.884317935,0.884486377,0.875856757,0.878805518,0.866603017,0.888527572
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putBoolean of class BaseBundle has parameters key String : a String or null |||
value boolean : a boolean ||| returns ",0.30147982,0.3045824,0.36301354,0.08804221,0.21793275,0.11616677,0.19507599,0.08129629,0.1429331,0.14407998,0.15960462,0.073286965,0.089084685,0.10682882,0.12594606,0.11523338,0.17221822,0.15355429,0.14024664,0.09783945,0.18629058,0.30147982,0.07582317,0.07016059,0.093798436,0.26711196,0.13428055,0.11990295,0.18629058,0.12762628,0.36996093,0.30783823,0.13574046,0.19333293,0.17221822,0.10375337,0.12040507,0.09476567,0.10132758,0.051288843,0.15950242,0.09026424,0.08765581,0.1744595,0.15514985,0.14968923,0.04958536
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putBoolean of class BaseBundle has parameters key String : a String or null |||
value boolean : a boolean ||| returns ",0.122382879,0.017906215,0.147791475,-0.041643921,0.075456813,0.011531277,0.087656207,0.064061753,0.051703855,0.07173346,0.005729372,0.028388005,0.022342404,0.067464493,0.046236075,0.008352199,0.022333741,0.048418421,0.061598349,0.124562562,0.011729417,0.122382879,0.010062255,-0.005563525,-0.041222457,0.066954829,0.100596093,-0.109058462,0.011729417,0.076502092,-0.047663644,0.020259038,0.013448505,0.038299374,0.022333741,0.051828034,-0.016059421,0.005538111,0.080235504,0.078919917,-0.036985088,0.049652517,0.01649116,-0.0047422,0.053473692,0.099306017,0.077663824
"method putInt of class BaseBundle has parameters key String : a String or null |||
value int : an int ||| returns ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putInt of class BaseBundle has parameters key String : a String or null |||
value int : an int ||| returns ",0.051530503,0.054935668,0.077609785,-0.012325985,0.063782215,-0.060766682,0.078250296,0.039884612,0.057210077,0.025972303,0.077516489,0.083725646,0.069168888,0.022374984,0.038554087,0.056230921,0.038183507,0.089594841,-0.064715751,0.04823073,0.002494712,0.051530503,0.027760588,0.044391379,-0.09385778,0.154483259,-0.015961803,0.037681758,0.002494712,-0.001769587,0.000759434,0.072154939,0.021402132,0.038147263,0.038183507,0.012537267,-0.011001563,0.040521532,0.096234739,0.083483592,0.036568359,-0.00671888,0.071397431,0.013378289,0.081039384,0.070662096,0.075046964
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putInt of class BaseBundle has parameters key String : a String or null |||
value int : an int ||| returns ",0.172699213,0.05527892,0.030070409,-0.058897279,0.051807724,0.083693102,0.062200926,0.135622412,0.048364423,0.048561998,0.059432328,0.08796829,0.0460224,0.081757531,0.025892016,0.081547961,0.08136116,0.05424257,-0.0203356,0.151136398,0.048515707,0.172699213,0.006002413,0.087172061,-0.008108318,0.17322965,0.073720858,-0.040515255,0.048515707,0.080144033,0.024785262,0.079267778,0.022196405,0.114406854,0.08136116,0.102230921,-0.046136495,0.07239905,0.06847316,0.108351111,0.080203332,0.081514277,0.068497531,0.085113853,0.077723749,0.109211557,0.122957364
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putInt of class BaseBundle has parameters key String : a String or null |||
value int : an int ||| returns ",0.836975634,0.833906293,0.822269559,0.834975779,0.864886045,0.893960357,0.846375704,0.880714953,0.857192814,0.84160006,0.834746301,0.892039001,0.902065873,0.839895368,0.877830505,0.890516758,0.882709026,0.8697474,0.907964468,0.880550623,0.840956211,0.836975634,0.845567465,0.88613832,0.872847497,0.903325319,0.868277907,0.869970143,0.840956211,0.830561459,0.836426318,0.838092387,0.872803926,0.840612888,0.882709026,0.877806067,0.884392142,0.881814837,0.834438682,0.883981466,0.860052109,0.884331226,0.886053562,0.876073718,0.880656421,0.866850257,0.887931824
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putInt of class BaseBundle has parameters key String : a String or null |||
value int : an int ||| returns ",0.36748278,0.28958228,0.3367449,0.101648174,0.22328013,0.14405185,0.20832789,0.07948384,0.16942318,0.16621731,0.1666902,0.08548305,0.098831564,0.13226788,0.13454464,0.12260556,0.17177796,0.20667529,0.16235626,0.1161948,0.24215049,0.36748278,0.0997428,0.08378163,0.109259285,0.28739783,0.13605534,0.12059164,0.24215049,0.14013277,0.3409971,0.32464102,0.13950966,0.23525117,0.17177796,0.11638771,0.17286159,0.11657607,0.10664964,0.07145112,0.15829517,0.10179424,0.10578645,0.19202653,0.15774073,0.17270009,0.07597052
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putInt of class BaseBundle has parameters key String : a String or null |||
value int : an int ||| returns ",0.157735869,0.075377114,0.079130262,-0.030957263,0.105377369,0.045656182,0.128839165,0.127911881,0.105877817,0.103680171,0.022400243,0.072644331,0.025359325,0.073000133,0.042040356,0.010562427,0.067345612,0.05964449,0.018725067,0.160155028,-0.013235823,0.157735869,-0.032392755,0.043874323,-0.056944884,0.122331731,0.103780314,-0.110478379,-0.013235823,0.111117847,0.029158693,0.056216002,0.014946949,0.074188769,0.067345612,0.024655789,-0.090353258,0.038928628,0.042452648,0.11380522,0.010736348,0.063425109,0.090805173,0.055839803,0.105655804,0.099095933,0.105653301
"method putString of class BaseBundle has parameters key String : a String or null |||
value String : a String or null ||| returns ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putString of class BaseBundle has parameters key String : a String or null |||
value String : a String or null ||| returns ",0.047740653,0.047697,0.07151033,0.002168322,0.075487673,-0.061260879,0.049708571,0.073810697,0.069907695,0.012872908,0.054511193,0.0848414,0.130801558,0.050086729,0.03782383,0.033613112,0.054718703,0.11032097,-0.013574734,0.033922844,-0.013735011,0.047740653,0.049274582,0.019918852,-0.061909057,0.129266888,-0.038384046,0.041543059,-0.013735011,-0.024011284,-0.050326895,0.105196804,0.013414625,0.036432412,0.054718703,0.017457157,0.023245972,0.086977214,0.087591223,0.071747199,-0.008849859,-0.04795298,0.004834317,0.014438752,0.069429085,0.031877629,0.06464088
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putString of class BaseBundle has parameters key String : a String or null |||
value String : a String or null ||| returns ",0.171367228,0.020711554,0.026511591,-0.012472041,0.049109735,0.061045196,0.085826471,0.168175176,0.069262072,0.062712014,0.033745401,0.049827643,0.043801859,0.080082975,0.019708501,0.081897862,0.068319723,0.061160713,-0.021887019,0.139489874,0.012310185,0.171367228,0.005831297,0.067701019,0.007049656,0.124920838,0.049116574,-0.042195048,0.012310185,0.026191797,-0.01982349,0.051707327,0.025364686,0.101137057,0.068319723,0.112372398,-0.040745899,0.067813314,0.084149249,0.06746465,0.033590492,0.088901341,0.060897667,0.058796622,0.071138144,0.099024653,0.082424685
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putString of class BaseBundle has parameters key String : a String or null |||
value String : a String or null ||| returns ",0.829634547,0.826899171,0.81340605,0.827388048,0.85963738,0.890488327,0.839618623,0.880351186,0.851062119,0.835483134,0.826929629,0.892907858,0.901907325,0.833242595,0.873799324,0.891717374,0.879384518,0.864971459,0.90750432,0.877491951,0.834780693,0.829634547,0.841056287,0.879332662,0.870525122,0.901317596,0.866352081,0.865884304,0.834780693,0.824331045,0.831480384,0.831401169,0.871385872,0.833764493,0.879384518,0.875259876,0.881614864,0.880192399,0.826780438,0.882576525,0.853549302,0.880990565,0.883687735,0.874771655,0.875003934,0.863921404,0.887738287
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putString of class BaseBundle has parameters key String : a String or null |||
value String : a String or null ||| returns ",0.5232547,0.4952703,0.58343583,0.23886564,0.43546608,0.3472086,0.52828306,0.24167167,0.37290052,0.44622585,0.43579042,0.3199008,0.3343476,0.36504927,0.36953512,0.4429803,0.4236236,0.3774208,0.306657,0.29240417,0.4452379,0.5232547,0.36268806,0.2682601,0.27901894,0.44367182,0.38696772,0.29861242,0.4452379,0.38088804,0.5185316,0.51227176,0.38647997,0.39481807,0.4236236,0.29847136,0.3903959,0.29764423,0.26667488,0.24734621,0.3450688,0.26673245,0.34562707,0.44213128,0.3028682,0.36060944,0.15400481
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method putString of class BaseBundle has parameters key String : a String or null |||
value String : a String or null ||| returns ",0.142761588,0.034106813,0.133069113,0.004028317,0.099786654,0.012508538,0.142106205,0.155288801,0.081449635,0.088994063,-0.010618778,0.021329524,0.023562515,0.074488536,0.028730031,0.009195615,0.058492802,0.050987381,0.01916571,0.105305344,-0.069639355,0.142761588,-0.00872284,-0.004537946,-0.03671382,0.08217027,0.09246859,-0.112354986,-0.069639355,0.033064999,-0.073620588,0.026299398,0.014469638,0.054582737,0.058492802,0.045871899,-0.048285499,0.048545912,0.07732071,0.111013323,-0.029059466,0.060519539,0.083747908,0.029889941,0.085304424,0.095105499,0.09956678
"method putFloat of class Bundle has parameters key String : a String or null |||
value float : a float ||| returns ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
